gameId|name|releaseDate|userRating|criticRating|description|imageLink|lastUpdate
1|E'Grand Theft Auto IV'|E'2008-04-29'|7.6|98|E'[Metacritic''s 2008 PS3 Game of the Year; Also known as "GTA IV"]  What does the American Dream mean today? For Niko Belic, fresh off the boat from Europe. It''s the hope he can escape his past. For his cousin, Roman, it is the vision that together they can find fortune in Liberty City, gateway to the land of opportunity. As they slip into debt and are dragged into a criminal underworld by a series of shysters, thieves and sociopaths, they discover that the reality is very different from the dream in a city that worships money and status, and is heaven for those who have them an a living nightmare for those who don''t. [Rockstar Games]'|E'https://static.metacritic.com/images/products/games/2/d08ab1308780df8de1d75badb951c60a-98.jpg'|E'2020-11-29 22:10:41'
2|E'Batman: Arkham City'|E'2011-10-18'|8.8|96|E'Developed by Rocksteady Studios, Batman: Arkham City builds upon the intense, atmospheric foundation of Batman: Arkham Asylum, sending players soaring into Arkham City, the new maximum security "home" for all of Gotham City''s thugs, gangsters and insane criminal masterminds. Set inside the heavily fortified walls of a sprawling district in the heart of Gotham City, this highly anticipated sequel introduces a brand-new story that draws together a new all-star cast of classic characters and murderous villains from the Batman universe, as well as a vast range of new and enhanced gameplay features to deliver the ultimate experience as the Dark Knight.'|E'https://static.metacritic.com/images/products/games/2/eda8575517197b9f2e2ae7d2cbd8ce28-98.jpg'|E'2020-11-29 22:10:41'
3|E'Red Dead Redemption'|E'2010-05-18'|8.9|95|E'Developed by Rockstar San Diego, as a follow up to the 2004 hit game Red Dead Revolver, Red Dead Redemption is a Western epic, set at the turn of the 20th century when the lawless and chaotic badlands began to give way to the expanding reach of government and the spread of the Industrial Age.  The story of former outlaw, John Marston, Red Dead Redemption takes players on a great adventure across the American frontier. Utilizing Rockstar''s proprietary Rockstar Advanced Game Engine (RAGE), Red Dead Redemption features an open-world environment for players to explore, including frontier towns, rolling prairies teeming with wildlife, and perilous mountain passes - each packed with an endless flow of varied distractions. Along the way, players experience the heat of gunfights and battles, meet a host of unique characters, struggle against the harshness of one of the worlds last remaining wildernesses, and ultimately pick their own precarious path through an epic story about the death of the Wild West and the gunslingers that inhabited it. [Rockstar Games]'|E'https://static.metacritic.com/images/products/games/2/a79df5c46863517adc95c787d668149e-98.jpg'|E'2020-11-29 22:10:41'
4|E'LittleBigPlanet'|E'2008-10-27'|6.8|95|E'In LittleBigPlanet Players meet on a blue and green planet scattered with individual plots  and use their character''s amazing abilities to play, create and share what they build with other gamers throughout the world via the Playstation Network. The LittleBigPlanet experience starts with players learning about their characters powers to interact physically with the environment. There are places to explore, creative resources to collect and puzzles to solve  all requiring a combination of brains and collaborative teamwork. As soon as players begin their creative skills will grow and they will soon be ready to start creating and modifying their surroundings  the first step to sharing them with the whole community.Characters have the power to move anything in this glued and stitched-together 3D landscape; they have the power to design, shape and build both objects and entire locations for others to view and play. Theres no complicated level editor; all of these skills can be learned by simply playing the game. Creativity is part of the gameplay experience and playing is part of the creative experience. Players can make their world as open or as secretive to explore as they like. When its ready, they can invite anyone within the LittleBigPlanet community to come and explore their patch  or can go and explore everybody else''s. [SCEA]'|E'https://static.metacritic.com/images/products/games/9/7c8510a3ca7ac878e48304ad5fe52fbb-98.jpg'|E'2020-11-29 22:10:41'
5|E'Uncharted 2: Among Thieves'|E'2009-10-13'|8.8|96|E'Fortune hunter Nathan Drake returns in Uncharted 2: Among Thieves, a third-person action-adventure/shooter created by award-winning developer Naughty Dog. Down on his luck, Drake is lured back into the treacherous world of thieves and mercenary treasure-seekers he had sought to leave behind. When a mysterious artifact propels Drake on an expedition to find the legendary Himalayan valley of Shambhala, he finds himself embroiled in a dangerous game of cat-and-mouse against a fugitive war criminal whos after more than just the fabled riches of the lost city. Caught in a web of deception and plunged into an increasingly deadly pursuit that tests the limits of his endurance, Drake will be forced to risk everything - but has his luck finally run out? [SCEA]'|E'https://static.metacritic.com/images/products/games/5/bcd9564959c78dc1f80bb54950bda4ec-98.jpg'|E'2020-11-29 22:10:41'
6|E'Grand Theft Auto V'|E'2013-09-17'|8.3|97|E'Los Santos is a vast, sun-soaked metropolis full of self-help gurus, starlets and once-important, formerly-known-as celebrities. The city was once the envy of the Western world, but is now struggling to stay afloat in an era of economic uncertainty and reality TV. Amidst the chaos, three unique criminals plot their own chances of survival and success:  Franklin, a former street gangster in search of real opportunities and serious cheddar; Michael, a professional ex-con whose retirement is a lot less rosy than he hoped it would be; and Trevor, a violent maniac driven by the chance of a cheap high and the next big score. Quickly running out of options, the crew risks it all in a sequence of daring and dangerous heists that could set them up for life.'|E'https://static.metacritic.com/images/products/games/5/399bb685cc7f747a3b39a35acb5dc5de-98.jpg'|E'2020-11-29 22:10:41'
7|E'Portal 2'|E'2011-04-19'|8.5|95|E'Portal 2 is the sequel to the title named "Game of the Year" 2007 by over 30 publications around the world. Portal 2 promises to break new ground in next generation gaming by expanding the award-winning recipe of innovative gameplay, immersive story, and creative inclusion of music while also introducing multiplayer co-op game modes.'|E'https://static.metacritic.com/images/products/games/0/882c6aa262652fa072560624e0d9d96b-98.jpg'|E'2020-11-29 22:10:41'
8|E'The Last of Us'|E'2013-06-14'|9.2|95|E'Twenty years after a pandemic radically transformed known civilization, infected humans run amuck and survivors kill one another for sustenance and weapons - literally whatever they can get their hands on. Joel, a salty survivor, is hired to smuggle a fourteen-year-old girl, Ellie, out of a rough military quarantine, but what begins as a simple job quickly turns into a brutal journey across the country.'|E'https://static.metacritic.com/images/products/games/9/18523f08edc05b0a344edf5f6e6f49d3-98.jpg'|E'2020-11-29 22:10:41'
9|E'Call of Duty 4: Modern Warfare'|E'2007-11-05'|8.5|94|E'[Metacritic''s 2007 PS3 Game of the Year]  As Call of Duty 4: Modern Warfare''s single player campaign unfolds, the player is introduced to new gameplay at every turn  one moment you are fast-roping from your Black Hawk helicopter after storming into the war zone with an armada of choppers, the next you are a sniper, under concealment, in a Ghillie suit miles behind enemy lines, the next you are engaging hostiles from an AC-130 gunship thousands of feet above the battlefield. Mixed with explosive action, Call of Duty 4: Modern Warfare also delivers special effects, including use of depth of field, rim-lighting, character self-shadowing, real time post-processing, texture streaming as well as physics-enabled effects. Infinity Ward deployed a dedicated team from the start to deliver a new level of depth to multiplayer. Building on the hit "Call of Duty 2" online experience, Call of Duty 4: Modern Warfare''s new multiplayer provides the community an addictive and accessible experience to gamers of all levels. [Activision]'|E'https://static.metacritic.com/images/products/games/3/4e5f0e4a6bb9bf71c5e2f1d8e398e219-98.jpg'|E'2020-11-29 22:10:41'
10|E'Metal Gear Solid 4: Guns of the Patriots'|E'2008-06-12'|8.8|94|E'Metal Gear Solid 4: Guns of the Patriots features an aging and exhausted Solid Snake in the middle of a futuristic battlefield. In spite of his failing body, Snake is equipped with a crucial new device tentatively known as "OctoCamo," a high-tech suit that dynamically transforms its texture based on Snake''s surroundings. This revolutionary new gameplay mechanic allows him to seamlessly blend into the environment, providing him with the means to stalk his enemies like never before. This latest chapter in Hideo Kojima''s legendary tactical espionage actin series marks the return of several characters from previous Metal Gear Solid games including Revolver Ocelot, Meryl Silverburgh, Naomi Hunter and Raiden, and features an unforgettable story that depicts the desperate state of the future as seen through the eyes of an older Solid Snake. [Konami]'|E'https://static.metacritic.com/images/products/games/2/4cd9a6dee7a32ede89538ff28f23235c-98.jpg'|E'2020-11-29 22:10:41'
