platformId|name|lastUpdate
1|E'Xbox 360'|E'2020-11-29 22:10:42'
2|E'PlayStation 3'|E'2020-11-29 22:10:42'
3|E'PC'|E'2020-11-29 22:10:42'
4|E'Xbox One'|E'2020-11-29 22:10:42'
5|E'PlayStation 4'|E'2020-11-29 22:10:42'
6|E'iPhone/iPad'|E'2020-11-29 22:10:42'
7|E'Switch'|E'2020-11-29 22:10:42'
8|E'Wii U'|E'2020-11-29 22:10:42'
9|E'3DS'|E'2020-11-29 22:10:42'
10|E'PlayStation 2'|E'2020-11-29 22:10:42'
11|E'PlayStation Vita'|E'2020-11-29 22:10:42'
12|E'Stadia'|E'2020-11-29 22:10:42'
13|E'PlayStation 5'|E'2020-11-29 22:10:42'
14|E'Xbox Series X'|E'2020-11-29 22:10:42'
15|E'Multi-platform'|E'2020-11-29 22:10:42'
