platformId|name|lastUpdate
1|PlayStation 3|2020-11-23 13:03:30
2|Xbox 360|2020-11-23 13:03:30
3|PC|2020-11-23 13:03:30
4|Xbox One|2020-11-23 13:03:30
5|PlayStation 4|2020-11-23 13:03:30
6|iPhone/iPad|2020-11-23 13:03:30
7|Switch|2020-11-23 13:03:30
8|Wii U|2020-11-23 13:03:30
9|3DS|2020-11-23 13:03:30
10|PlayStation 2|2020-11-23 13:03:30
11|PlayStation Vita|2020-11-23 13:03:30
12|Stadia|2020-11-23 13:03:30
13|PlayStation 5|2020-11-23 13:03:30
14|Xbox Series X|2020-11-23 13:03:30
15||2020-11-23 13:03:30
